"Reference","Value","Qty","DNP","Manufacturer","Manufacturer Part Number","Supplier","Supplier Part Number","Description"
"C201,C206,C401","10uF","3","","Samsung Electro-Mechanics","CL31B106KAHNFNE","Digikey","1276-3100-2-ND","10 µF ±10% 25V Ceramic Capacitor X7R 1206 (3216 Metric)"
"C202,C404,C405,C406,C408,C409,C411,C501,C601,C602,C603,C604,C605,C606,C607","100nF","15","","Murata Electronics","GCJ188R72A104KA01D","Digikey","490-13420-2-ND","0.1 uF ±10% 100V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C203","2.2uF","1","","EPCOS - TDK Electronics","B32923P3225K000","Digikey","495-B32923P3225K000-ND","2.2 µF Film Capacitor 305V 630V Polypropylene (PP) Radial"
"C204,C402,C403,C407","1uF","4","","Murata Electronics","GCJ188R71E105KA01D","Digikey","490-14409-2-ND","1 uF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C205,C608,C609","15pF","3","","Murata Electronics","GCM1885C2A150FA16D","Digikey","490-16416-2-ND","15 pF ±1% 100V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"C207,C208","220uF","2","","Würth Elektronik","860010473011","Digikey","732-8634-1-ND","220 µF 25 V Aluminum Electrolytic Capacitors Radial, Can 2000 Hrs @ 85°C"
"C301,C302,C303","1nF","3","","Murata Electronics","GRM1885C1H102JA01D","Digikey","490-1451-2-ND","1000 pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"C410","4.7uF","1","","Samsung Electro-Mechanics","CL21B475KOFNFNE","Digikey","1276-2970-2-ND","4.7 µF ±10% 16V Ceramic Capacitor X7R 0805 (2012 Metric)"
"C610,C617","1pF","2","","Murata Electronics","GCM1885C2A1R0CA16D","Digikey","490-GCM1885C2A1R0CA16DTR-ND","1 pF ±0.25pF 100V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"C611,C613","1.5pF","2","","Murata Electronics","GCM1885C2A1R5BA16D","Digikey","490-GCM1885C2A1R5BA16DTR-ND","1.5 pF ±0.1pF 100V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"C612,C615","100pF","2","","Murata Electronics","GCM1885C2A101JA16D","Digikey","490-4771-2-ND","100 pF ±5% 100V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"C614","3.3pF","1","","Murata Electronics","GCM1885C2A3R3CA16D","Digikey","490-GCM1885C2A3R3CA16DTR-ND","3.3 pF ±0.25pF 100V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"C616","1pF","1","DNP","Murata Electronics","GCM1885C2A1R0CA16D","Digikey","490-GCM1885C2A1R0CA16DTR-ND","1 pF ±0.25pF 100V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"D201,D207,D501","Green","3","","Lite-On Inc.","LTST-C190GKT","Digikey","160-1183-2-ND","Green 569nm LED Indication - Discrete 2.1V 0603 (1608 Metric)"
"D202,D203,D204,D205,D206","~","5","","onsemi","MRA4004T3G","Digikey","MRA4004T3GOSTR-ND","Diode 400 V 1A Surface Mount SMA"
"D301,D302,D303","~","3","","onsemi","RB520S30T1G","Digikey","RB520S30T1GOSTR-ND","Diode 30 V 200mA Surface Mount SOD-523"
"F201","2A","1","","Bel Fuse Inc.","0679H2000-05","Digikey","5923-0679H2000-05TR-ND","2 A 350 V AC 72 V DC Fuse Board Mount (Cartridge Style Excluded) Surface Mount 2-SMD, Square End Block"
"J101","~","1","","WAGO Corporation","2060-852/998-404","Digikey","2946-2060-852/998-404TR-ND","2 Position Wire to Board Terminal Block Horizontal with Board 0.315"" (8.00mm) Surface Mount"
